"RT_count","name","screen_name","url","profile_image_url","description","klout_score","id_str"
30,"Roberto Re","robertore62","https://t.co/66RPiwGoLA","http://pbs.twimg.com/profile_images/3531752857/3abd1db89295b2fd9e75f2dcd1f97279_normal.jpeg","Ich bin ein Mailänder. Networker, Security analytical thinker, Fulltime student of the news, RT=FYI. ½ROBot #TweetMI #Milano , ingegnere.",68.48,"180317088"
18,"Beat Digital","BeatDigitalMkt","http://t.co/4h7eGNITdV","http://pbs.twimg.com/profile_images/3414757211/7ab0ef4103449a884ac0b5279fcd04b0_normal.jpeg","A Beat Digital é uma agência especializada em marketing digital e blogs. #MarketingDigital #dicaswordpress #redessociais #onlinemarketing #marketingmix #blogs",50.09,"939853778"
17,"Warren Lee","RhapsodyStudio","https://t.co/gjzZe5a1O7","http://pbs.twimg.com/profile_images/664925955199123460/fgw_nmrQ_normal.jpg","Pianist, teacher, REALpreneur, and businessman. I love knowledge and the grind. My latest piano cover: Alla Turca Jazz <U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F> link below. NO DM PLS",45.9,"251286406"
16,"Estratégia Digital","blogestrategia","http://t.co/4h7eGNITdV","http://pbs.twimg.com/profile_images/652145499089301508/IT_eaANV_normal.jpg","O Blog Estratégia Digital é um ponto de encontro sobre marketing digital.  #MarketingDigital #dicaswordpress #redessociais #onlinemarketing #marketingmix",48.11,"3900651875"
15,"Julio Liarte","reliarte","http://t.co/J1rZvZASPE","http://pbs.twimg.com/profile_images/639035828426153984/ssH944h5_normal.png","Antes era funcionario... ahora, EMPRENDEDOR LIBRE!! Creador del sistema http://t.co/By1WfDh1aJ",45.55,"872276665"
10,"Shaun Dakin","DakinMarketing","http://t.co/7LFfJvu7kA","http://pbs.twimg.com/profile_images/70647981/Dakin_Shaun_WEB_normal.jpg","Twitter account for GMU Marketing Class with Professor @ShaunDakin  Current Hashtag #GMU315",46.28,"18873177"
9,"Shaun Dakin","shaundakin","http://t.co/ZqpKPyRteO","http://pbs.twimg.com/profile_images/651829196000329728/yOOll4VV_normal.png","Dakin Associates Consulting - Digital Strategy and Execution.  @Mashable Open Web Award Winner.  #Privacy info @PrivacyCamp",53.79,"17292556"
9,"Michelle Killebrew","shellkillebrew","http://t.co/EWV9YRnAXm","http://pbs.twimg.com/profile_images/536377291450761216/5zrzvdN1_normal.png","Sr Marketing Executive, TEDx, Digital Technologist, Marketing Maven (B2B & B2C), Web Analytics User, eCommerce Junkie, Tech Geek & Dog Lover. Opinions are mine.",62.34,"25165065"
9,"weservesocial","weservesocial","http://t.co/PlsVzdz7J6","http://pbs.twimg.com/profile_images/525657573924421632/X3d5p02o_normal.jpeg","We Serve Up Delicious Tasty Social Media.   #SocialLIFE",45.96,"2816324424"
8,"Jerome Buvat","JeromeBuvat","http://t.co/GT93flUxHw","http://pbs.twimg.com/profile_images/588340808270622720/mgB7pVvt_normal.jpg","Head of digital research @capgeminiconsul - Passionate about digital, literature and history - Tweets = my opinion #bigdata #IoT #digital #DCX",51.61,"2150539856"
