"created_at","id_str","text","retweet_count","favorite_count"
"Mon Dec 21 19:21:11 +0000 2015","679018797819289600","The Miss Universe Design Fail: This isn’t @IAmSteveHarvey's fault alone. #X https://t.co/MZtRWKn7dZ https://t.co/2Kur2GScFP",105,108
"Fri Nov 27 17:20:52 +0000 2015","670291210863439872","The embrace…that moment when you have my attention &amp; I have yours &amp; we do something amazing. https://t.co/sovhXS6Wk8 https://t.co/Z4nKbxNn2Y",97,173
"Sat Nov 07 18:02:07 +0000 2015","663053833426178053","The future is shaped by tech’s impact on society &amp; what's upset or inspired as a result https://t.co/xmyOCVJgRW https://t.co/qqG9uifR5N",96,94
"Tue Feb 09 19:20:27 +0000 2016","697138004658262016","""We need to rethink our strategy of hoping the Internet will just go away."" - said, most executives you know https://t.co/qOYJcExTEk",89,111
"Tue Jan 05 22:28:47 +0000 2016","684501828113846272","Look at how people use technology not at technology people use. #ces #ces2016 https://t.co/ZvKjjLi5zZ",84,108
"Mon Feb 29 16:49:39 +0000 2016","704347812926922752","Smart CMOs and CDOs Take an Opposite Approach to Digital Transformation [8 Success Factors] via @forbes https://t.co/XQJ9D0sVP1",79,112
"Thu Jan 07 22:54:14 +0000 2016","685233007985201152","26 Disruptive Tech Trends for the Rest of the Decade https://t.co/8xwc5VexX1 https://t.co/LHXeHxLK14",72,61
"Sun Feb 07 21:12:30 +0000 2016","696441430240137216","“Multitasking is Killing Your Brain” by @larrykim https://t.co/yBErbFMNi6",67,65
"Tue Jan 12 23:50:54 +0000 2016","687059206399221761","Instead of Price, Product, Promotion, and Place, leaders should embrace, People, Promise, Purpose… https://t.co/4THZEYM2Gm",65,86
"Thu Jan 07 18:55:06 +0000 2016","685172826530172928","""26 DISRUPTIVE TECHNOLOGY TRENDS FOR 2016-2019""  https://t.co/OtXItc1SjT #CES",62,61
"Mon Feb 22 16:20:16 +0000 2016","701803702533754880","Disruption is either going to happen to you or because of you. - @briansolis, https://t.co/bY8ZW9XJQ7 https://t.co/N1oIjd7IBi",61,55
"Mon Feb 08 22:34:49 +0000 2016","696824533722882049","Experiences are more important than products. Experiences have transcended to become products themselves. https://t.co/nyoz6thLS1",59,72
"Mon Feb 01 16:23:37 +0000 2016","694194402315649024","The 10 Commandments of Marketing https://t.co/y9opmpXih4 via @24Slides https://t.co/u5LM0QuONw",55,55
"Fri Jan 29 16:20:59 +0000 2016","693106575590842368","Attention is a currency. We earn it. We spend it - via @heythinkdigital https://t.co/f5AUQYWYHE",53,54
"Mon Dec 07 23:16:38 +0000 2015","674004621287796737","The smartphone is eating the television, Nielsen study confirms via @mthewi @FortuneMagazine https://t.co/XZjZ7CMYI3",53,36
"Sun Feb 21 18:27:10 +0000 2016","701473253311688705","I love his work! ""Why I'm teaching prisoners to code"" by @ChrisRedlitz https://t.co/VOxOaX6Amc via @TEDTalks",49,59
"Wed Mar 02 13:07:17 +0000 2016","705016629499924480","Digital transformation isn't limited to any 1 dept or function. It's enterprise-wide. In fact, it's bigger than that https://t.co/YjyhEo2cx2",48,23
"Sat Jan 23 18:22:07 +0000 2016","690962730547703808","Internet of Things security is so bad, there’s a search engine for sleeping kids https://t.co/AkqvvxtXp2",46,22
"Wed Jan 06 20:33:18 +0000 2016","684835151562473472","Twitter isn't raising the 140-character limit. It's building a wall. https://t.co/xgN9qej0jj via @FutureTenseNow",46,26
"Tue Feb 16 03:38:06 +0000 2016","699437569918894080","Twitter is not for everyone. And, that what makes it so special. https://t.co/AhkA8ruqF2",44,61
"Tue Feb 23 18:09:51 +0000 2016","702193670125174785","26 Disruptive Tech Trends for 2016 - 2018 https://t.co/gXKkAmgzFT https://t.co/15U1y7OSGo",43,28
"Sun Feb 07 19:11:42 +0000 2016","696411029715025921","Information overload is a symptom of our desire to not focus on what's important. It's a choice. #monotasking https://t.co/7VwqnBACD5",39,41
"Thu Feb 11 17:01:26 +0000 2016","697827797826273280","#Twitter is not for everyone and that's what makes it special. https://t.co/8O76AIxITr",35,35
"Tue Dec 15 17:50:37 +0000 2015","676821677230034944","Experiences…
The best things in life aren’t things.
https://t.co/bY8ZW9XJQ7
#xfactor https://t.co/c6PgNB1rBM",35,57
"Sun Dec 06 20:01:20 +0000 2015","673593084962201601","Why customer experience is the new disruption https://t.co/iId8ibviTv via @VentureBeat @thekenyeung",35,40
"Sun Dec 27 22:11:46 +0000 2015","681236052644765697","the six principles of User-Centered Design (UCD) https://t.co/J5vSLsLa44",33,67
"Tue Feb 16 00:00:53 +0000 2016","699382908159524865","Twitter is a human seismograph measuring the world’s activity, events and trends in real-time... https://t.co/3rbidLicZU",32,31
"Fri Dec 18 17:37:10 +0000 2015","677905457952854016","What is the experience our customers have today?
What could or should it be tomorrow? 
https://t.co/cNVz0xqFjd https://t.co/6td5MkmiKP",32,22
"Fri Jan 15 16:24:12 +0000 2016","688033953404432384","Community is much more than belonging to something; it’s about doing something together that makes belonging matter. https://t.co/fTOZUExhm4",31,34
"Wed Dec 30 19:34:29 +0000 2015","682283636561936384","Before you try to fix your Customer Experience, have you looked at your Customer Journey? https://t.co/KTYemXeoOD",31,40
"Sun Dec 27 16:41:19 +0000 2015","681152891101380609","Customers demand more than a good product; they expect a great experience https://t.co/J5vSLsLa44 via @StartupPro https://t.co/KmuOqi0Nos",31,26
"Sun Dec 20 17:41:19 +0000 2015","678631279198277632","""The more you invest in relationships, the more meaningful they become.” https://t.co/Edk1NBV0eX",31,27
