"created_at","id_str","text","retweet_count","favorite_count"
"Wed Sep 30 23:45:12 +0000 2015","649369433677262852","""Starting w/ users isn’t just how we shld be making tech, it’s how we shld be making govt"" - @pahlkadot at #cfasummit http://t.co/OtwVJGREKO",132,144
"Thu Aug 06 00:43:19 +0000 2015","629090337961541632","Engineering 21st century government #ILookLikeAnEngineer http://t.co/3Gf10a62gg",78,107
"Tue Nov 17 19:03:23 +0000 2015","666693128485666816","Welcome to the CfA network 2016 fellows and #government partners! https://t.co/pH45pdL8VI https://t.co/blzeHdPZkJ",44,38
"Wed Sep 30 00:41:52 +0000 2015","649021305195356160","Code for America Brigade network at #Oakland City Hall! Lookin good, #CfASummit http://t.co/toExz2atwr",43,68
"Fri Oct 02 19:58:51 +0000 2015","650037246100312064","If we fail, let's not fail because of a lack of imagination. - @pahlkadot at #cfasummit",38,32
"Tue Feb 16 18:34:29 +0000 2016","699663152074530816","Love your community and want to make it better? Go to a #CodeAcross event near you, 3/5-6 https://t.co/4aSZsNz7EO https://t.co/mF9dtYWgfV",37,28
"Wed Oct 07 17:05:37 +0000 2015","651805591833198592","Just posted: all the #CfASummit mainstage videos are up on YouTube --&gt; https://t.co/QoRTSf13iI http://t.co/GmboGREgEP",37,50
"Tue Dec 22 19:10:00 +0000 2015","679378368781946880","This year in #civictech is out! tl;dr CfA Brigades had some pretty impressive wins in 2015. https://t.co/TsBqOUBY1j https://t.co/95og6d2j8t",35,26
"Fri Jan 08 03:51:46 +0000 2016","685307884758945792","""If we all believed in government, and held it accountable to working, we would live in a different world."" @pahlkadot #inforumsf",34,33
"Tue Oct 06 20:36:20 +0000 2015","651496229583454208","We're hiring a Director for our brand new Communications &amp; Engagement focus area! Check it out and spread the word http://t.co/4whh8moq1m",34,13
"Mon Sep 28 19:45:14 +0000 2015","648584270361985024","The #CfASummit starts Wed in #Oakland. Can't make it? Keynotes and mainstage sessions will be live streamed ---&gt; http://t.co/RTwe3XbUGr",34,16
"Sat Sep 26 02:30:09 +0000 2015","647599004012933120","This Week in #CivicTech: @enigma_io uses open #data to predict buildings missing smoke alarms http://t.co/BPmRzm897h http://t.co/xEma2hhUKN",27,17
"Sat Jan 23 18:30:06 +0000 2016","690964740445749248","No plans this weekend? Work on #civictech projects from around the world from the comfort of your couch https://t.co/W5DvG4GeZj",26,12
"Sat Jan 23 00:26:57 +0000 2016","690692158119100416","Dream job: help us better understand how to get technologists into public service #NetGainChallenge @FordFoundation https://t.co/ImRDRhYEu1",26,27
"Thu Oct 01 17:18:35 +0000 2015","649634528823144449","""If I fix a design of one small thing, I’m likely improving lives of thousands of New Yorkers"" - @arielmai #CfASummit http://t.co/UllfwXLFtS",26,33
