"created_at","id_str","text","retweet_count","favorite_count"
"Sun Dec 20 18:03:02 +0000 2015","678636740932976641","For the first time, less than 10% of the world is living in extreme poverty, World Bank says https://t.co/w2ZPJosPYH https://t.co/mQWRMdknPj",77,42
"Mon Oct 12 21:07:00 +0000 2015","653678277614260224","NASA is opening up hundreds of patents to inventors, for free http://t.co/mNImUsKI0p",57,43
"Sat Nov 21 18:58:13 +0000 2015","668141382566068224","“Simply put, we can’t keep preparing children for a world that doesn’t exist.” https://t.co/7svmISsRUW",50,27
"Wed Oct 14 18:01:42 +0000 2015","654356417961459712","#VR &amp; #AR Will Soon Be Worth $150 Billion. Here Are The Major Players http://t.co/2sfCkJwfOE via @FastCompany http://t.co/TMkPNvNBmL",46,40
"Wed Dec 16 17:02:39 +0000 2015","677171995981832196","For the first time, less than 10% of the world is living in extreme poverty, World Bank says https://t.co/QhQdGpy3M0 https://t.co/Ns5tAjnJO9",44,22
"Tue Nov 10 20:50:40 +0000 2015","664183413524574208","Now these are some healthcare goals to aspire to! @ajadad of @uoft speaking @ExponentialMed #xmed https://t.co/QiJkL514DY",44,48
"Tue Nov 10 00:39:55 +0000 2015","663878717614215168","More on #3Dprinting in healthcare; this @singularityhub story about 3D printed ribs https://t.co/QsaJgRZ220 #xmed https://t.co/cVc9kUGQZ1",37,16
"Tue Nov 10 00:39:55 +0000 2015","663878717614215168","More on #3Dprinting in healthcare; this @singularityhub story about 3D printed ribs https://t.co/QsaJgRZ220 #xmed https://t.co/cVc9kUGQZ1",37,16
"Sat Feb 06 18:58:11 +0000 2016","696045238750724096","The Internet of Things is Getting Emotional #IoT https://t.co/65n5z0arjM by @shellyfan via @singularityhub https://t.co/rNPFEYukRS",35,42
"Fri Dec 25 23:54:02 +0000 2015","680537012739391488","Forget Humans vs. Machines: It’s a Humans + Machines Future by @ShellyFan https://t.co/dvFv5DzLPG https://t.co/uEq78T3oEi",35,34
"Mon Dec 21 22:07:08 +0000 2015","679060558621089792","26 incredible innovations that improved the world in 2015 https://t.co/407ej3Bppi So proud to see @BeMyEyes at #26!",35,23
"Sat Dec 26 03:22:02 +0000 2015","680589360396398592","How do you increase the rate of innovation in your company? https://t.co/k8bnLJXLdu https://t.co/nXPfGogMap",34,27
"Tue Nov 10 23:15:27 +0000 2015","664219850609442816",".@DrJackUK makes a valid point about Darth Vader &amp; #medtech at #xmed. https://t.co/EYM5jIDRRY",34,30
"Sat Nov 07 21:31:08 +0000 2015","663106433727275008","Meet the Engineer Bringing Wearable Sensors &amp; #AI to #Autism Therapy — Exponential Entrepreneurs https://t.co/ufAHT11jLy",34,43
"Fri Jan 08 17:03:07 +0000 2016","685507032124911616","Chinese company unveils world’s first passenger drone at #CES https://t.co/O2bmE5104P https://t.co/5S2BFc9zcL",33,26
"Sat Nov 14 03:22:31 +0000 2015","665369187985018880","3 Ways Exponential Technologies Are Impacting the Future of Learning https://t.co/R2SzC3J5nU",32,39
"Sun Oct 04 17:03:04 +0000 2015","650717787078414339",".@Deloitte no longer wants to know which university its job applicants attended http://t.co/ABx8aw7DGf",32,18
"Wed Feb 10 23:54:08 +0000 2016","697569267705888768","“This is what happens when 8 different exponential technologies explode onto the scene at once.” –@PeterDiamandis https://t.co/tOFr7k0A7f",30,30
"Sat Oct 24 21:41:26 +0000 2015","658035597378985984","Talking #Hyperloop with @HyperloopTech CTO &amp; Founder @BamBrogan, @Rob_Lloyd &amp; @PeterDiamandis at #XLeaders https://t.co/y4TL5rlPNV",29,49
"Thu Oct 01 22:54:33 +0000 2015","649719073689980928","Ray Kurzweil: Tiny Robots In Our Brains Will Make Us 'Godlike' http://t.co/8cIIC8Oao2 http://t.co/Bn1KzQBC6N",29,30
"Tue Jan 19 19:01:49 +0000 2016","689523171008069632","Top Tech Stories You'll Be Reading in 2016:
1. AI <f0><U+009F><U+0092><U+00AD>
2. Robotics <f0><U+009F><U+00A4><U+0096>
3. Self-Driving Cars <f0><U+009F><U+009A><U+0098>
And… https://t.co/RTFSybiJ4H
via @singularityhub",26,17
"Mon Dec 07 18:11:19 +0000 2015","673927786403389440","“Simply put, we can’t keep preparing children for a world that doesn’t exist.” https://t.co/9DATrf37dL",26,24
"Thu Nov 12 16:46:27 +0000 2015","664846731289436160","""We can finish evolution's job with nanotechnology."" Ray Kurzweil @ExponentialMed, live now. #xmed https://t.co/gnrrYfTPEg",26,22
"Mon Nov 09 21:15:32 +0000 2015","663827286030815233","Disrupting Today's Healthcare System https://t.co/FrjAlASEjU by @PeterDiamandis for @HuffingtonPost #xmed",26,18
"Sun Nov 08 18:03:07 +0000 2015","663416474778906624","How to create a mission statement:
1.Your goal in 8 words with:
2. A verb
3. A target population
4. An outcome 
https://t.co/0sKEl80YvV",26,43
"Sat Oct 17 20:31:12 +0000 2015","655481205744386048","There’s a Robot Waiting to Treat Your Predicted Heart Attack — Exponential Entrepreneurs http://t.co/xiNwzTdNMS",26,26
"Sat Feb 27 03:30:43 +0000 2016","703421978896703488",".@PeterDiamandis on where #ArtificialIntelligence is now &amp; what's around the corner: https://t.co/uQ0vlaupNv",25,24
"Sat Feb 06 03:22:02 +0000 2016","695809647832342528","Japanese Robotic Farm's First Harvest Next Year—Half a Million Lettuces a Day in Five Years https://t.co/eSGhVSnKhn https://t.co/CFtxlHXyfm",25,25
"Mon Feb 29 18:11:15 +0000 2016","704368350198173697","Atlas Robot is more capable (&amp; human) than ever, &amp; puts up with human rudeness (Video) https://t.co/oWo9WS9tlA https://t.co/NIq2cg7YzB",24,20
"Sat Nov 28 21:31:09 +0000 2015","670716582499360768","Did you hear about the #PiZero? @Raspberry_Pi made a $5 computer. https://t.co/i3lVmfqP3V",24,22
"Sun Nov 15 19:16:51 +0000 2015","665971742666551296","First Human Tests of Memory Boosting Brain Implant a Big Leap Forward https://t.co/SuqgUitdvS",24,24
"Mon Jan 18 19:03:19 +0000 2016","689161160504033281","Ray Kurzweil responds to, “In a world where AI passes the Turing test, who gets to vote? Does democracy make sense?” https://t.co/HlsKSSSrYt",23,23
"Mon Dec 07 19:03:04 +0000 2015","673940809490817024","How to create a mission statement:
1.Your goal in 8 words with:
2. A verb
3. A target population
4. An outcome 
https://t.co/Mv2NpcpRTx",23,40
"Mon Nov 23 16:48:08 +0000 2015","668833421549051905","Thrilled @washingtonpost put faculty chair Marc Goodman's book @FutureCrimes in 10 best! https://t.co/eJ3xsBOSv3 https://t.co/eVAt29F4iM",23,25
"Sat Nov 21 21:31:10 +0000 2015","668179873387671552","Technology Is the Great Amplifier of Our Humanity https://t.co/alUay97Y7G by @DigitAlison https://t.co/ZxItMNXliJ",23,28
"Sun Oct 04 20:57:20 +0000 2015","650776742337085440","Elon Musk-backed @solarcity claims to have built industry's most efficient solar panel http://t.co/LkHyAoZRUf",23,16
"Sat Jan 30 23:55:15 +0000 2016","693583282013933568","Does your startup use tech to solve a global challenge? Apply for $100k + 8-week program @su_labs Accelerator https://t.co/M22vne8vCD",22,25
"Tue Jan 19 19:37:25 +0000 2016","689532129617821696","Our co-founder #RayKurzweil was interviewed by the one &amp; only @neiltyson https://t.co/LbzFMwmLAN https://t.co/gcc5zUp3Xe",22,43
"Thu Feb 04 22:17:46 +0000 2016","695370689390387200","Our partners @UNICEFinnovate are looking for tech startups creating open-source technologies for children! https://t.co/fBbIZP0NuF",21,19
"Thu Jan 07 00:02:31 +0000 2016","684887801867988993","Peter Diamandis is interviewing @Snowden tomorrow at #CES! Submit Qs using both @suitabletech &amp; @PeterDiamandis. https://t.co/AjLIPKrseM",21,24
"Tue Dec 01 23:54:04 +0000 2015","671839714278813697","Introducing the Global Solutions Program https://t.co/vhlYRyr8rH https://t.co/QSeynWMrqZ",21,25
"Sun Nov 15 18:03:19 +0000 2015","665953236948549632","Technology Is the Great Amplifier of Our Humanity — Exponential Entrepreneurs, with @EmiliaLahti https://t.co/ZO18by5BNx",21,20
"Wed Nov 11 23:54:05 +0000 2015","664591958334152704","Note: Ray Kurzweil has an 86% accuracy rate for his futurist predictions. https://t.co/9YZXXr9Rrm #xmed https://t.co/u5GYGqW5AA",21,26
"Mon Jan 04 19:51:36 +0000 2016","684099881435283456","Congrats #GSP15 startup @Aipoly_ on their @ProductHunt launch! #AR for visually impaired https://t.co/HJh2o03pah https://t.co/679wLCXODV",20,28
